Мақоми давлатӣ,Категория,№,Рамзи хизматрасонӣ,Номгӯйи хизматрасонӣ,Гирандаи хизматрасонӣ,Хизматрасонанда,Ташкилоти қабул ва додани натиҷа,Шакли хизматрасонӣ,Музднок ё ройгон
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,853,000853,Иҷозатнома оид ба фаъолияти бонкӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,854,000854,Иҷозатнома оид ба фаъолияти ташкилоти қарзии ғайрибонкӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,855,000855,Иҷозатнома оид ба фаъолияти ташкилотҳои амонатии қарзии хурд,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,856,000856,Иҷозатнома оид ба фаъолияти ташкилотҳои қарзии хурд,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,857,000857,Иҷозатнома оид ба фаъолияти фондҳои қарзии хурд,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,858,000858,Иҷозатнома оид ба фаъолияти ташкилотҳои қарзии анъанавӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,859,000859,Иҷозатнома оид ба фаъолияти бонкҳои исломӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,860,000860,Иҷозатнома оид ба фаъолияти ташкилотҳои ғайрибонкии исломӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,861,000861,Иҷозатнома оид ба фаъолияти ташкилотҳои амонатии қарзии хурди исломӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,862,000862,Иҷозатнома оид ба фаъолияти ташкилотҳои қарзии хурди исломӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,863,000863,Иҷозатнома оид ба фаъолияти фондҳои қарздиҳии хурди исломӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,864,000864,Иҷозатнома оид ба фаъолияти оператори низоми пардохтӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,865,000865,Иҷозатнома барои фаъолият оид ба анҷомдиҳии амалиёт бо асъори хориҷӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Хабарнома,866,000866,Хабарнома оид ба огоҳ намудан дар бораи анҷоми амалиёти асъории марбут ба ҳаракати сармоя,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
